chr	start	end	strand	tpm	interquantileWidth	iq_10	iq_90
chr1	286037	286037	-	8.52276712	9	286028	286038
chr1	455367	455367	+	33.11710864	27	455318	455398
chr1	1446560	1446560	+	64.40728227	1	1446557	1446561
chr1	1642405	1642405	-	11.54929681	20	1642382	1642416
chr1	4432231	4432231	-	44.29982651	16	4432195	4432233
chr1	7597398	7597398	+	72.67588827	23	7597352	7597452
chr1	10258936	10258936	-	23.96472937	63	10258830	10258987
chr1	13267569	13267569	+	68.67351911	30	13267527	13267784
chr1	15204996	15204996	+	10.09990901	50	15204962	15205108
chr1	17604997	17604997	+	6.44317271	38	17604989	17605027
chr1	18174878	18174878	+	8.95381197	50	18174864	18175130
chr1	18341143	18341143	-	76.30355559	10	18341103	18341191
chr1	18436595	18436595	-	7.0717592	45	18436581	18436626
chr1	18587273	18587273	-	53.02214734	13	18587245	18587313
chr1	19607163	19607163	-	5.87747432	39	19607144	19607364
chr1	21625839	21625839	+	73.14992444	33	21625763	21625954
chr1	23125275	23125275	-	20.81002234	9	23125188	23125412
chr1	23131673	23131673	+	12.98311871	10	23131599	23131728
chr1	25280873	25280873	-	7.89748671	10	25280872	25280898
chr1	35859484	35859484	-	13.35904523	51	35859483	35859534
chr1	36430206	36430206	+	65.40435832	33	36430165	36430269
chr1	39169860	39169860	-	18.02744458	10	39169838	39169909
chr1	42231821	42231821	+	20.13278469	62	42231756	42231823
chr1	42365131	42365131	-	5.52934302	7	42365122	42365131
chr1	45458497	45458497	+	20.55908202	51	45458370	45458542
chr1	45505056	45505056	-	463.33687378	22	45505033	45505097
chr1	46391297	46391297	-	5.43911808	26	46391285	46391322
chr1	51118114	51118114	-	44.30274388	3	51118025	51118128
chr1	51300355	51300355	-	11.55831926	3	51300274	51300357
chr1	51571684	51571684	-	47.17869697	42	51571642	51571755
chr1	52214404	52214404	-	59.01204226	15	52214391	52214430
chr1	52215845	52215845	+	93.71854306	24	52215792	52215863
chr1	52623354	52623354	-	35.41222851	46	52623281	52623356
chr1	52632587	52632587	+	38.01955446	20	52632433	52632591
chr1	52955944	52955944	-	27.36576251	31	52955357	52955989
chr1	54973652	54973652	-	12.98228153	44	54973627	54973701
chr1	55258256	55258256	-	11.57083425	32	55258162	55258332
chr1	59169378	59169378	-	13.16467095	11	59169332	59169465
chr1	59469917	59469917	-	9.6815438	19	59469837	59470010
chr1	59486166	59486166	+	7.75117905	35	59486155	59486241
chr2	238118	238118	-	35.2400657	25	238075	238235
chr2	1088149	1088149	+	75.11331255	32	1088128	1088184
chr2	2384537	2384537	-	70.10209097	44	2384375	2384610
chr2	2488803	2488803	-	31.52946144	30	2488745	2488820
chr2	2888618	2888618	+	17.93491558	3	2888617	2888620
chr2	2923642	2923642	+	84.27739735	30	2923580	2923662
chr2	3545997	3545997	+	32.19115462	2	3545992	3546020
chr2	5086063	5086063	-	62.19881085	22	5086013	5086133
chr2	5757942	5757942	-	17.75309098	2	5757941	5757944
chr2	9735089	9735089	+	6.32816781	49	9735016	9735089
chr2	10355308	10355308	-	13.33966641	30	10355232	10355359
chr2	10489668	10489668	-	45.31886658	3	10489664	10489675
chr2	10669731	10669731	+	18.13921048	23	10669689	10669822
chr2	11548204	11548204	+	153.32312306	6	11548197	11548295
chr2	13046794	13046794	-	29.49208401	15	13046767	13046808
chr2	13526905	13526905	+	47.63878323	51	13526718	13527093
chr2	13740450	13740450	+	16.8687444	30	13740404	13740714
chr2	14533976	14533976	+	42.17543747	1	14533974	14533976
chr2	14948987	14948987	+	25.91266744	16	14948965	14948988
chr2	16417593	16417593	+	36.28322216	49	16417555	16417699
chr2	17057141	17057141	-	5.45336396	28	17057140	17057168
chr2	17718701	17718701	-	38.79808486	35	17718637	17718734
chr2	18292802	18292802	-	59.30562588	58	18292757	18292888
chr2	19619086	19619086	-	13.80229839	58	19619085	19619147
chr2	20495103	20495103	+	9.93378253	6	20495098	20495108
chr2	21906564	21906564	-	9.57927863	1	21906563	21906580
chr2	22152022	22152022	+	13.8000012	49	22151993	22152046
chr2	23014608	23014608	+	5.00000564	18	23014577	23014667
chr2	23258718	23258718	+	9.57490581	28	23258709	23258770
chr2	24073257	24073257	-	7.65484856	34	24073223	24073257
chr2	24251073	24251073	-	18.93247775	24	24250998	24251106
chr2	24788957	24788957	+	26.91383618	31	24788955	24788998
chr2	26624261	26624261	-	70.73012587	35	26624200	26624343
chr2	26627861	26627861	+	31.26153857	63	26627813	26628120
