chr	start	end	width	strand	length	CpGcount	GCcontent	pctGC	obsExp
chr1	285857	286214	358	*	358	43	209	0.584	1.41
chr1	1642251	1642438	188	*	188	14	89	0.473	1.333
chr1	13267684	13267846	163	*	163	15	96	0.589	1.213
chr1	15205135	15205306	172	*	172	14	83	0.483	1.398
chr1	18174894	18175222	329	*	329	32	167	0.508	1.511
chr1	19606815	19607058	244	*	244	26	127	0.52	1.596
chr1	23124621	23125224	604	*	604	36	291	0.482	1.034
chr1	35858671	35859198	528	*	528	44	280	0.53	1.193
chr1	42231718	42231997	280	*	280	13	118	0.421	1.083
chr1	45504809	45505073	265	*	265	20	135	0.509	1.166
chr1	46391162	46391279	118	*	118	10	53	0.449	1.695
chr1	52215794	52215881	88	*	88	9	51	0.58	1.222
chr1	52622995	52623225	231	*	231	14	99	0.429	1.343
chr1	52955735	52955864	130	*	130	12	68	0.523	1.379
chr1	54973213	54973562	350	*	350	29	203	0.58	0.985
chr1	55258058	55258317	260	*	260	29	154	0.592	1.322
chr1	59469865	59470137	273	*	273	27	161	0.59	1.157
chr1	59469880	59469979	100	*	144	15	87	0.604	1.16
chr2	2384137	2384586	450	*	450	31	213	0.473	1.23
chr2	3545972	3546230	259	*	259	14	98	0.378	1.52
chr2	9734909	9735099	191	*	191	10	77	0.403	1.291
chr2	17057060	17057216	157	*	157	13	79	0.503	1.313
chr2	17718247	17718828	582	*	582	45	285	0.49	1.307
chr2	18292379	18292892	514	*	514	38	236	0.459	1.404
chr2	19618346	19618650	305	*	305	18	143	0.469	1.075
chr2	19619117	19619241	125	*	125	13	82	0.656	0.981
chr2	24788885	24789110	226	*	226	21	118	0.522	1.365
chr2	26624199	26624340	142	*	142	9	67	0.472	1.217
chr2	26627879	26628304	426	*	426	27	222	0.521	0.934
chr2	27148739	27149021	283	*	283	20	136	0.481	1.287
chr2	31524561	31524931	371	*	371	27	195	0.526	1.064
chr2	32389186	32389437	252	*	252	17	117	0.464	1.273
chr2	32758809	32759472	664	*	664	47	343	0.517	1.062
chr2	33175488	33175788	301	*	301	24	155	0.515	1.211
chr2	35575164	35575330	167	*	167	11	72	0.431	1.458
chr2	37575494	37575667	174	*	174	13	72	0.414	1.78
chr2	37575494	37575667	174	*	174	13	72	0.414	1.78
chr2	37820042	37820540	499	*	499	32	249	0.499	1.03
chr2	37908702	37908876	175	*	175	15	90	0.514	1.302
chr2	40955052	40955703	652	*	652	45	343	0.526	1.004
chr2	50696498	50696609	112	*	112	11	63	0.562	1.281
chr2	57918850	57919070	221	*	221	24	127	0.575	1.329
chr3	125466	125582	117	*	117	12	57	0.487	1.755
chr3	733454	733667	214	*	214	15	88	0.411	1.661
chr3	2234198	2234387	190	*	190	15	85	0.447	1.589
